Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA,Dow
2010-01-04,62.895259857177734,34.932464599609375,26.466835021972656,43.44197463989258,42.953704833984375,53.04750442504883,18.933374404907227,19.11857795715332,27.933923721313477,48.40403366088867,148.8163299560547,22.343778610229492,94.72455596923828,15.16577434539795,47.22303009033203,32.9410400390625,45.60509490966797,25.703462600708008,24.22689437866211,11.960965156555176,12.837370872497559,44.05879211425781,38.454769134521484,56.3858757019043,26.776103973388672,18.927600860595703,18.10236167907715,41.723106384277344,29.129676818847656,
2010-01-05,62.50130081176758,34.85563659667969,26.512596130371094,44.86477279663086,43.467254638671875,53.42327117919922,18.84902572631836,18.887300491333008,27.86423683166504,48.5930290222168,151.44732666015625,22.507436752319336,93.58028411865234,15.158515930175781,46.67546463012695,33.57912063598633,45.25642395019531,25.807632446289062,24.23472023010254,12.008557319641113,12.654273986816406,44.07322311401367,37.54378890991211,55.54362106323242,26.733640670776367,18.96172523498535,17.894922256469727,41.307647705078125,28.895401000976562,
2010-01-06,63.3876953125,35.41907501220703,26.090879440307617,46.22572708129883,43.599300384521484,53.42998504638672,18.726333618164062,18.880596160888672,27.71616554260254,49.01301574707031,149.83082580566406,22.429508209228516,92.97238159179688,15.10766887664795,47.05511474609375,33.763607025146484,44.63893508911133,26.154870986938477,24.085988998413086,11.935341835021973,12.61358642578125,43.86416244506836,37.01108169555664,55.25235366821289,26.99690818786621,18.434144973754883,17.654630661010742,41.21531295776367,28.676733016967773,
2010-01-07,63.433143615722656,35.99351119995117,26.042646408081055,48.09703063964844,43.77537155151367,53.22867965698242,18.810680389404297,18.833669662475586,27.724878311157227,48.85902404785156,152.76280212402344,22.694486618041992,92.6505355834961,14.962406158447266,46.71928024291992,34.432430267333984,44.96583557128906,26.196550369262695,23.83550262451172,12.052484512329102,12.566119194030762,43.62629699707031,37.54378890991211,55.4885368347168,28.032960891723633,18.324420928955078,17.818931579589844,41.238407135009766,28.848552703857422,
2010-01-08,63.88011932373047,35.967796325683594,26.21578598022461,47.63306427001953,44.26689147949219,53.32261276245117,18.910369873046875,18.485090255737305,27.76841926574707,48.663021087646484,149.87384033203125,22.585384368896484,93.58028411865234,15.129463195800781,46.87989044189453,34.347869873046875,44.92225646972656,26.182655334472656,23.999893188476562,12.028690338134766,12.66783332824707,43.56863021850586,37.489742279052734,55.59872055053711,27.76970100402832,18.335968017578125,17.86821746826172,41.030670166015625,28.887598037719727,
2010-01-11,63.62254333496094,35.55624771118164,25.984527587890625,47.068580627441406,47.047325134277344,54.2686882019043,18.856689453125,18.86048698425293,27.315488815307617,49.20901107788086,147.50941467285156,21.946313858032227,92.60047912597656,15.216620445251465,46.88719177246094,34.23255157470703,45.270938873291016,26.286828994750977,23.694610595703125,11.880435943603516,12.769556045532227,43.39561080932617,37.47427749633789,56.80311584472656,27.95652961730957,18.411043167114258,17.816879272460938,41.70771026611328,28.934457778930664,
2010-01-12,63.675567626953125,36.02781295776367,25.688945770263672,46.72837448120117,45.660770416259766,53.95335388183594,18.5576229095459,19.064943313598633,26.845136642456055,48.964027404785156,144.29368591308594,21.806034088134766,93.33712768554688,14.969661712646484,47.13542175292969,33.433048248291016,45.51792907714844,26.078489303588867,23.538053512573242,11.86396312713623,12.728869438171387,43.893009185791016,37.71361541748047,56.47248077392578,27.217700958251953,18.42837142944336,17.732675552368164,42.10779571533203,28.692367553710938,
2010-01-13,63.47101593017578,36.1392707824707,26.05130386352539,47.29282760620117,45.726802825927734,53.54401397705078,18.895030975341797,19.11522102355957,27.2545166015625,48.768035888671875,145.368408203125,21.922935485839844,93.13688659667969,15.223877906799316,47.43477249145508,34.017295837402344,45.467079162597656,27.03689956665039,23.757230758666992,11.97011947631836,13.027251243591309,44.3471565246582,37.84486389160156,57.11796951293945,27.633827209472656,18.4052677154541,17.89698028564453,42.32321548461914,28.957881927490234,
2010-01-14,63.25891876220703,36.59370040893555,25.900436401367188,47.602142333984375,45.47003173828125,53.376304626464844,19.132753372192383,19.148746490478516,27.01934051513672,48.7750358581543,144.9041748046875,22.055419921875,94.62444305419922,15.601572036743164,47.52968215942383,34.35554885864258,45.51065444946289,27.7730655670166,24.23472023010254,11.895076751708984,13.142539978027344,44.39039611816406,38.04559326171875,57.31476974487305,28.29620361328125,18.029891967773438,17.958589553833008,41.70771026611328,28.981321334838867,
2010-01-15,63.160400390625,36.345054626464844,25.46758270263672,47.02992630004883,44.406410217285156,53.161582946777344,18.710994720458984,18.867189407348633,26.653505325317383,48.37603759765625,142.04957580566406,22.26584243774414,94.2453842163086,15.10766887664795,47.13542175292969,33.57912063598633,45.241878509521484,27.411928176879883,24.15644073486328,11.785263061523438,13.217134475708008,43.84254455566406,37.66730880737305,56.669273376464844,28.66138458251953,17.6602783203125,17.691598892211914,41.29994201660156,28.58301544189453,
